企業名,勤務地,給与,初年度年収
ナイル株式会社 ,【転勤なし】 東京都品川区東五反田1-24-2 東五反田1丁目ビル7階 ※「五反田駅」徒歩5分,年俸制400万円〜600万円 ※経験・能力により、優遇いたします。,400万円～600万円
北浜国際特許事務所 ,大阪府大阪市中央区高麗橋3−3−11　淀屋橋フレックスタワー5階,"年俸 360万円〜1,000万円（30万円/月〜83万円/月） ※経験やスキルを考慮して決定いたします ※試用期間…",初年度年収のデータなし
株式会社鴎来堂 ,■本社／東京都新宿区矢来町126 NITTOビル ※転勤なし ※状況に応じて、自宅からリモートワー…,"月給250,000円〜350,000円 ※年齢・経験・スキル等を考慮の上、優遇いたします。 ※最長3ヶ月の試用期間…",300万円～420万円
ブルーリッジ株式会社 ,【☆転勤なし＊UIターン歓迎＊六本木駅から徒歩5分の好アクセス☆】 〒106-0031 東京都港区…,◆月給22万円~24万円 ＋ 交通費（上限3万円/月）＋諸手当＋ 賞与(※業績による) ＊経験者の方-は前給最大…,280万円～380万円
プロンプト・Ｋ株式会社 ,◇転勤なし！ ◇UIターン歓迎！ 【 鹿児島オフィス 】 鹿児島県鹿児島市荒田1丁目4-14 丸田…,月給21万円〜36万円 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 《月収例》 ・技術職／35歳…,315万円～540万円
株式会社 一迅社 ,・本社勤務：新宿区 ・アクセス：各線「新宿三丁目駅」より徒歩30秒 各線「新宿駅」より徒歩5分 J…,◆月給26万円以上 ※経験・能力を考慮のうえ、優遇します。 ※試用期間6ヵ月（期間中、待遇面に変更はあ…,初年度年収のデータなし
株式会社シグナス ,■本社／京都市西京区桂野里町49-11 【アクセス】 阪急「桂」駅より徒歩5分 オフィスは、京都は…,"[四大卒]月給203,000円〜 [短大卒]月給186,000円〜 ※年齢、経験、能力を考慮の上、当社規定により優遇し…",初年度年収のデータなし
株式会社 一迅社 ,・本社勤務：新宿区 ・アクセス：各線「新宿三丁目駅」より徒歩30秒 各線「新宿駅」より徒歩5分 J…,月給：40万円以上 ※報奨金制度あり ※試用期間6ヵ月（期間中、待遇面に変更はありません）,初年度年収のデータなし
Reeracoen Philippines Inc,Makati マカティ、フィリピン,"月給８0,000ペソ〜 レート：1 フィリピン・ペソ =2.24円 ※2021年３月11日現在",初年度年収のデータなし
関西総合システム株式会社 ,各線なんば駅から直結◆雨に濡れずに通勤◆転勤なし◆大阪市浪速区湊町1丁目2番3号　マルイト難波ビル…,月給28万円〜＋諸手当＋賞与 ※前職給与・年齢・経験・スキルを考慮の上で決定 ※固定残業代として30時間…,400万円～600万円
未来貯金株式会社 ,★転勤なし ★リモートワーク可 東京都港区芝5-29-20 クロスオフィス三田 都営浅草線・三田線…,月給40万円〜＋残業代別途支給 ※経験・年齢・前職給与に応じて相談しながら決定いたします。 ※試用期間…,初年度年収のデータなし
株式会社ブラン・クリエイト ,★転勤なし ★麻布十番駅徒歩4分・赤羽橋駅徒歩3分 本社／東京都港区東麻布2-32-8 西桜ビル4…,月給40万円〜＋各種手当＋賞与年2回 ※給与は、能力やスキル、前職給与などを最大限考慮して決定します。…,500万円～1000万円
NTT西日本ビジネスフロント株式会社 ,【西日本管内の各営業所（関西／東海／北陸／中国／四国／九州）での勤務となります】 ※希望を考慮のう…,"【大阪】 月給21万7,000円+インセンティブ 【京都、奈良、滋賀、兵庫、愛知】 月給20万1,750円+インセン…",初年度年収のデータなし
株式会社エルシーアール ,《転勤なし&U・Iターン歓迎&マイカー通勤OK》 栃木県宇都宮市鶴田町351-7　ラポール館2F,"【月給】244,000円〜450,000円 ※経験・能力等を考慮し、当社規定により決定します。 ※固定残業代として…",350万円～600万円
未来貯金株式会社 ,★転勤なし ★リモートワーク可 東京都港区芝5-29-20 クロスオフィス三田 都営浅草線・三田線…,月給40万円〜＋残業代別途支給 ※経験・年齢・前職給与に応じて相談しながら決定いたします。 ※試用期間…,初年度年収のデータなし
株式会社CROSTAGE ,◎東京都港区　※現在は在宅勤務（出社頻度：月1回程度） ◎転勤なし ◎お持ちのスキル、経験、希望、…,■月給30万円〜41.7万円 ※経験や能力、スキルを考慮の上、当社規定により決定します。 ※試用期間3ヶ月…,360万円～500万円
NTT西日本ビジネスフロント株式会社 ,【西日本管内の各営業所（関西／東海／北陸／中国／四国／九州）での勤務となります】 ※希望を考慮のう…,"【大阪】 月給21万7,000円+インセンティブ 【京都、奈良、滋賀、兵庫、愛知】 月給20万1,750円+インセン…",初年度年収のデータなし
株式会社三英社製作所 ,【本社】東京都品川区荏原5-2-1 受動喫煙対策：屋内全面禁煙 ※在宅勤務・リモートワークも相談可,"月給 20万6,000円〜25万円（一律手当含む） ※経験・能力を考慮し決定いたします。 試用期間 あり（3ヶ…",320万円～400万円
株式会社グロービス ,■東京オフィス 東京都千代田区二番町5-1 住友不動産麹町ビル <アクセス> 地下鉄有楽町線「麹町…,年俸制350万円〜500万円 ※経験・能力を考慮し、規定に従い相談の上決定します。 ※半年以上在籍した方は…,350万円～500万円
株式会社グロービス ,■東京オフィス 東京都千代田区二番町5-1 住友不動産麹町ビル <アクセス> 地下鉄有楽町線「麹町…,年俸制400万円〜800万円 ※経験・能力を考慮し、規定に従い相談の上決定します。 ※半年以上在籍した方は…,400万円～800万円
株式会社グロービス ,■東京オフィス 東京都千代田区二番町5-1 住友不動産麹町ビル <アクセス> 地下鉄有楽町線「麹町…,年俸制500万円〜800万円 ※経験・能力を考慮し、規定に従い相談の上決定します。 ※半年以上在籍した方は…,500万円～800万円
株式会社イー住まい ,【U・Iターン歓迎／希望を考慮】 本店（京都市）または南店（宇治市）のいずれか。 〜詳細〜 本店／…,"月給20万5,000円〜24万5,000円 ＋ 諸手当 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いた…",350万円～600万円
クリエーションライン株式会社 ,【テレワーク推奨】 東京本社／東京都千代田区神田佐久間町3-6 M’s WORKS BLDG 2F…,月給37万円〜 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間6ヶ月あり（その間の待…,450万円～650万円
弥生株式会社 ,【札幌市／大阪市のご希望どちらか】 【札幌市】 札幌市中央区北3条西4-1-1日本生命札幌ビル21…,"【札幌市】 年俸：3,100,000円〜4,200,000円 【大阪市】 年俸：3,400,000円〜4,500,000円 ------------…",310万円～450万円
ベリトランス株式会社 ,【転勤なし／直行直帰OK／リモートワーク勤務あり】 ■本社 東京都渋谷区恵比寿南3-5-7 デジタ…,"月給：275,000円〜350,000円 ※あなたの経験・スキル・年齢などを考慮し、当社規定により優遇します。 …",350万円～450万円
弥生株式会社 ,【札幌市／大阪市のご希望どちらか】 【札幌市】 札幌市中央区北3条西4-1-1日本生命札幌ビル21…,"【札幌市】 年俸：3,100,000円〜4,200,000円 【大阪市】 年俸：3,400,000円〜4,500,000円 ------------…",310万円～450万円
弥生株式会社 ,【札幌市／大阪市のご希望どちらか】 【札幌市】 札幌市中央区北3条西4-1-1日本生命札幌ビル21…,"【札幌市】 年俸：4,000,000円〜8,000,000円 【大阪市】 年俸：4,350,000円〜8,750,000円 ------------…",400万円～875万円
弥生株式会社 ,【札幌市／大阪市のご希望どちらか】 【札幌市】 札幌市中央区北3条西4-1-1日本生命札幌ビル21…,"年俸：5,500,000円〜9,000,000円 ------------------------------------- ※経験・年齢を考慮して決定し…",550万円～900万円
クリエーションライン株式会社 ,【テレワーク推奨】 東京本社／東京都千代田区神田佐久間町3-6 M’s WORKS BLDG 2F…,月給30万円〜 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間6ヶ月あり（その間の待…,350万円～650万円
ベリトランス株式会社 ,【転勤なし／直行直帰OK／リモートワーク勤務あり】 ■本社 東京都渋谷区恵比寿南3-5-7 デジタ…,年俸制：350〜450万円 ※あなたの経験・スキル・年齢などを考慮し、当社規定により優遇します。 ※試用…,350万円～450万円
ウエストユニティス株式会社 ,大阪府大阪市北区大深町4-20 グランフロント大阪 タワーA29F ＜アクセス＞ 各線「大阪」駅か…,月給40万円〜60万円 ※経験やスキルを考慮して決定いたします ※試用期間3ヵ月（同条件） ＜想定年収＞ …,500万円～700万円
ワイジェイFX株式会社 ,本社／東京都千代田区紀尾井町1-3　東京ガーデンテラス紀尾井町　紀尾井タワー23階 《アクセス》…,年俸400万円〜1200万円 ※経験・能力・前職給与を考慮の上、当社規程により優遇 ※試用期間3ヵ月（給与・…,400万円～1200万円
