企業名,勤務地,給与,初年度年収
株式会社ウェブエッジ ,【転居を伴う転勤なし】 【東京本社】 東京都中野区弥生町1-9-8 トーソービル2F 東京本社、も…,月給25万円〜50万円(固定残業代含む) ※上記固定残業代は時間外労働の有無に関わらず、 　経験者は20時…,初年度年収のデータなし
ウチダエスコ株式会社 ,東京都江東区木場五丁目8番40号　東京パークサイドビル ＜アクセス＞ 東京メトロ東西線 木場駅徒歩…,月給：31万円以上 ※残業代は全額支給 ※経験スキルを考慮して決定いたします。,500万円～650万円
株式会社エヌティーコンサルタント ,【盛岡or仙台】 ■本社／岩手県盛岡市高松2-35-28 ■仙台事業所／宮城県仙台市泉区泉中央1-…,■月給30万円〜60万円（一律固定手当含む） ※試用期間3ヶ月（期間中の待遇変更なし） ※経験・年齢を考…,400万円～700万円
エスアールエス株式会社 ,東京都中央区日本橋3丁目12番2号 朝日ビルヂング8F,月給30万円〜50万円 ※経験・年齢を考慮いたします。 ※当初6か月間は試用期間（試用期間中も待遇面変更…,500万円～800万円
エンバシー・フレイトサービス株式会社 ,東京都中央区銀座8丁目10-6 銀座M・Eビル 《アクセス》 各線「新橋駅 」徒歩3分 地下鉄各線…,【月給】 30万円〜35万円 ※年齢、経験、能力を考慮の上、優遇します。 ※上記には固定残業代（40時間分…,400万円～550万円
株式会社テレビ朝日,【テレビ朝日・本社】東京都港区六本木６-９-１ ※状況により在宅テレワークあり,"月給21万8,100円以上 ※経験等を考慮し、優遇いたします ※固定残業代2万9,100円以上（月15時間分）を含…",初年度年収のデータなし
株式会社テレビ朝日,【テレビ朝日・本社】東京都港区六本木６-９-１ ※状況により在宅テレワークあり,"月給21万8,100円以上 ※経験等を考慮し、優遇いたします ※固定残業代2万9,100円以上（月15時間分）を含…",初年度年収のデータなし
株式会社テレビ朝日,【テレビ朝日・本社】東京都港区六本木６-９-１ ※状況により在宅テレワークあり,"月給21万8,100円以上 ※経験等を考慮し、優遇いたします ※固定残業代2万9,100円以上（月15時間分）を含…",初年度年収のデータなし
東京エレクトロンデバイス株式会社 ,【在宅勤務・リモートワークも相談可】 神奈川県横浜市神奈川区金港町1番地4 横浜イーストスクエア…,"月給20万6,000円〜42万9,000円 ※経験・年齢・能力などを考慮し、当社規定にて優遇いたします。 ※試用…",400万円～850万円
インターナショナルシステムズ株式会社 ,静岡本社（静岡市葵区）・浜松オフィス（浜松市中区）・取引先（東京都品川区/神奈川県中井町/浜松市中…,月給25万円〜50万円 ※経験・年齢を考慮の上、弊社規定により決定いたします。 ※試用期間最大6カ月あり…,320万円～750万円
株式会社エムイーシーフーズ ,【マイカー通勤OK・「八幡宿駅」より徒歩10分】 本社／千葉県市原市五所509-1,月給17万5000円〜18万2000円＋手当、賞与など ※経験などを考慮し決定いたします。 ※試用期間3ヵ月間(…,210万円～249万円
ヤマギシリフォーム工業株式会社 ,名古屋営業所 愛知県名古屋市東区筒井３丁目18-20,"【月給】 258,900円〜337,000円　 ※試用期間あり（6ヶ月／同条件） ※経験、能力を考慮し、優遇いたしま…",350万円～400万円
有限会社えりオフィス ,≪勤務地≫ 東京都港区南青山6-13-2 ブルジョン南青山301号 『表参道』駅から徒歩10分,月給21万円〜33万円 ※経験・能力を考慮し、ご相談に応じます。 ※試用期間３カ月あります。 (試用期間中…,初年度年収のデータなし
株式会社うえじまインベストメント ,【本社・各営業所、または東京都、神奈川県、愛知県、大阪府、京都府、宮城県のプロジェクト先】 ※希望…,月給：30万円以上 ※経験やスキル、前職などに応じて当社規定により決定します。 ※試用期間3ヶ月（期間…,360万円～2500万円
日本プラスト株式会社 ,【本社・テクニカルセンター】 (月10日を限度にテレワーク可能！)静岡県富士宮市山宮3507-15…,月給20万円〜32万円（試用期間3ヶ月／待遇は変わりません） ※経験・年齢を考慮の上、規定により優遇いた…,350万円～550万円
学校法人武蔵野大学 ,■有明キャンパス 東京都江東区有明3-3-3（りんかい線「国際展示場」駅徒歩7分） ■武蔵野キャン…,"■月給200,000円〜240,000円 ※試用期間6カ月。その間も待遇の変化はありません。",初年度年収のデータなし
ジェイケイ・プラン株式会社 ,◆大阪本社／大阪市中央区博労町1丁目8-8　ピカソ堺筋本町ビル3階,◆月給20万円以上 ※上記はあくまで最低保証給。 ※経験、年齢を基に当社給与規定により決定 ※試用期間3…,初年度年収のデータなし
プロンプト・Ｋ株式会社 ,◇転勤なし！ ◇UIターン歓迎！ 【 鹿児島オフィス 】 鹿児島県鹿児島市荒田1丁目4-14 丸田…,月給21万円〜36万円 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 《月収例》 ・技術職／35歳…,315万円～540万円
よつば労務管理事務所 ,【転勤なし／マイカー通勤OK】 愛知県岡崎市百々町字七社４番地１−１ ◎アクセス 名鉄バス 百々住…,"月給210,000円〜250,000円 ※あなたの経験・年齢・能力を考慮し給与を決定します ※試用期間あり（３か…",初年度年収のデータなし
株式会社モトヤマ ,〒573-0131 大阪府枚方市春日野2-19-1 産業機器事業部 ※転勤はありません※ ◆アクセ…,月給20.9万〜24.1万円（経験・能力による）＋諸手当,初年度年収のデータなし
株式会社一矢建設 ,本社／福島県会津若松市日新町10-40 ※マイカー通勤可,月給18万円〜29万円 ※経験、能力、資格により決定します ※試用期間3ヵ月間も同条件,初年度年収のデータなし
株式会社アイエスエフネットハーモニー ,【日本全国で勤務可能】 ★通勤がない＝「満員電車がツライ」「交通機関がない」というストレスと無縁…,【時給1050円〜】 ★入社6ヵ月目以降は能力に応じて昇給あり ★試用期間3ヵ月：同待遇,初年度年収のデータなし
関西総合システム株式会社 ,各線なんば駅から直結◆雨に濡れずに通勤◆転勤なし◆大阪市浪速区湊町1丁目2番3号　マルイト難波ビル…,月給28万円〜＋諸手当＋賞与 ※前職給与・年齢・経験・スキルを考慮の上で決定 ※固定残業代として30時間…,400万円～600万円
株式会社Penseur ,【大阪本社限定募集】 ※「心斎橋」駅から徒歩3分の好立地で活躍！ ※転勤なし！ ※U・Iターン歓迎…,◆月給30万〜45万円以上＋賞与 　 （１）経験・年齢・能力を考慮し優遇します 　 （２）諸手当は別途支…,初年度年収のデータなし
株式会社ダイクレ ,【UIターン歓迎！】 広島県呉市築地町1-24 JR「呉駅」より車で4分／徒歩14分,"月給192,000円以上+諸手当 ※経験・年齢・能力を考慮の上、決定します",初年度年収のデータなし
株式会社ぶんか社 ,本社 〒 102-8405 東京都千代田区一番町29-6,"月給 458,000円〜583,000円以上 ※経験や能力に応じて決定 ※固定残業なし 試用期間 有（6ヶ月） ※試…",550万円～700万円
株式会社オデッセイコミュニケーションズ ,本社 東京都千代田区丸の内3-3-1　新東京ビル B1 〈アクセス〉 JR山手線「有楽町駅」徒歩5…,"月給　233,000円〜 ※試用期間：最長6ヶ月（条件等は変わりません。） ※固定残業手当3.7万円以上を含む…",350万円～500万円
株式会社CROSTAGE ,◎東京都港区　※現在は在宅勤務（出社頻度：月1回程度） ◎転勤なし ◎お持ちのスキル、経験、希望、…,■月給30万円〜41.7万円 ※経験や能力、スキルを考慮の上、当社規定により決定します。 ※試用期間3ヶ月…,360万円～500万円
株式会社Penseur ,＜大阪本社限定募集＞ ※「心斎橋」駅から徒歩3分の好立地で活躍！ ※転勤なし！ ◆大阪本社… 大阪…,◆月給30万〜45万円以上＋賞与 　 （１）経験・年齢・能力を考慮し優遇します 　 （２）諸手当は別途支…,初年度年収のデータなし
株式会社エイビス ,★転勤なし【大分・東京同時募集！】 ★U・Iターン歓迎 ■大分本社 大分市金池町3-3-11 ◎「…,月給23万円〜40万円 + 諸手当 ※今回の転職が不利にならないよう、あなたの年齢、経験、能力を考慮のう…,初年度年収のデータなし
株式会社ライフポート西洋 ,東京本社／東京都千代田区九段南2-4-16 九段ZENビル →「九段下駅」より徒歩5分、「市ヶ谷駅…,"月給277,300円〜416,000円(一律手当を含む) ※固定残業手当：67,400円〜101,300円（42時間分／超過分は別…",370万円～600万円
株式会社ヤマオカ・イスタ ,【転勤なし！直行直帰あり！】 東京都港区での勤務となります。 ※一部テレワークも可能です。 ▼本社…,月給30万円〜 ※経験、資格などを考慮の上で決定いたします。 ※試用期間6ヶ月間あり（待遇に変更なし）。,450万円～700万円
株式会社オデッセイコミュニケーションズ ,当社本社（東京都千代田区丸の内3-3-1　新東京ビル B1） 〈アクセス〉 ■JR山手線「有楽町駅…,月給26.6万円〜 ※固定残業手当2.1万円以上を含む（10時間相当／超過分は別途支給） ※試用期間最長6ヶ月…,400万円～600万円
